selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
176	hiperreflexia	6	9.95	39	0.09	127.97	45.30	6			desconocido
177	plasmaféresis	11	18.25	73	0.17	124.87	82.56	7			desconocido
178	beijerinck	9	14.93	60	0.14	124.21	67.46	5			desconocido
179	hipoplasia	32	53.09	214	0.50	123.75	239.65	11			desconocido
180	citogenético	15	24.88	102	0.24	121.35	111.80	8	Q246128	2	muy_generico
181	exudativo	5	8.29	34	0.08	121.35	37.27	5			desconocido
182	hipersecreción	7	11.61	48	0.11	120.17	52.05	6			desconocido
183	irritativo	7	11.61	48	0.11	120.17	52.05	6			desconocido
184	inflamaciones	8	13.27	55	0.13	119.80	59.44	8			desconocido
185	ninds	9	14.93	62	0.15	119.52	66.83	7			desconocido
186	presbicia	9	14.93	62	0.15	119.52	66.83	7			desconocido
187	amarela	10	16.59	69	0.16	119.29	74.22	10			desconocido
188	transcrito	55	91.24	380	0.89	119.11	408.06	8			desconocido
189	tráquea	89	147.64	617	1.45	118.64	659.67	37			desconocido
190	nasofaringe	11	18.25	77	0.18	117.31	81.30	7			desconocido
191	trigémino	23	38.16	162	0.38	116.46	169.70	8			desconocido
192	prehospitalario	16	26.54	113	0.27	116.10	117.96	5			desconocido
193	broncoespasmo	13	21.57	92	0.22	115.82	95.78	6	Q279330		desconocido
194	atrapamiento	28	46.45	199	0.47	115.25	206.05	18			desconocido
195	concelhos	9	14.93	64	0.15	115.17	66.22	9			desconocido
196	distensibilidad	7	11.61	50	0.12	114.58	51.44	5			desconocido
197	isquemia	6	9.95	43	0.10	114.14	44.05	5			desconocido
198	sincitial	11	18.25	79	0.19	113.86	80.70	7			desconocido
199	cristalino	93	154.28	671	1.58	113.25	681.39	14			desconocido
200	toxicología	55	91.24	397	0.93	113.19	402.92	16	Q7218	1	muy_generico
201	liposucción	17	28.20	123	0.29	112.88	124.45	10			desconocido
202	λόγος	8	13.27	58	0.14	112.61	58.53	8			desconocido
203	tintas	15	24.88	109	0.26	112.31	109.67	14			desconocido
204	descompresión	108	179.16	788	1.85	111.79	788.71	13			desconocido
205	macronutrient	13	21.57	95	0.22	111.58	94.89	5			desconocido
206	cianosis	24	39.81	176	0.41	111.13	175.01	22			desconocido
207	ciclofosfamida	12	19.91	88	0.21	111.13	87.51	10			desconocido
208	laringe	6	9.95	44	0.10	111.13	43.75	6			desconocido
209	inmunosupresor	16	26.54	118	0.28	110.41	116.48	10			desconocido
210	broncodilatador	5	8.29	37	0.09	109.97	36.36	5			desconocido
211	prednisona	17	28.20	126	0.30	109.77	123.58	11			desconocido
212	biotransformación	12	19.91	89	0.21	109.69	87.22	5	Q864895	3	generico
213	purulento	19	31.52	141	0.33	109.61	138.07	14			desconocido
214	paleobiología	11	18.25	82	0.19	109.05	79.83	7	Q1578310	1	muy_generico
215	microcítico	13	21.57	97	0.23	108.93	94.32	7			desconocido
216	corneal	59	97.88	441	1.04	108.71	427.84	10			desconocido
217	geobotánica	14	23.22	105	0.25	108.28	101.42	7	Q1456948	2	muy_generico
218	biomaterial	27	44.79	203	0.48	107.98	195.45	10			desconocido
219	laringitis	13	21.57	98	0.23	107.65	94.03	8	Q1194557		desconocido
220	obstructivo	65	107.83	491	1.16	107.39	469.89	34			desconocido
221	cardiopulmonar	21	34.84	159	0.37	107.11	151.71	10			desconocido
222	parestesia	21	34.84	159	0.37	107.11	151.71	17			desconocido
223	autoinmunitaria	15	24.88	114	0.27	106.64	108.24	15			desconocido
224	antígeno	5	8.29	38	0.09	106.64	36.08	5			desconocido
225	taquipneo	5	8.29	38	0.09	106.64	36.08	5			desconocido
226	congestión	6	9.95	46	0.11	105.58	43.19	5			desconocido
227	contractura	30	49.77	231	0.54	105.05	215.65	19			desconocido
228	ventilatorio	10	16.59	77	0.18	105.05	71.88	9			desconocido
229	reye	7	11.61	54	0.13	104.83	50.29	5			desconocido
230	desmielinización	12	19.91	93	0.22	104.27	86.10	9			desconocido
231	telangiectasia	8	13.27	62	0.15	104.27	57.40	5			desconocido
232	vinicultura	9	14.93	70	0.16	103.85	64.50	6			desconocido
233	bioinformático	22	36.50	172	0.40	103.23	157.43	11	Q128570	2	muy_generico
234	biomecánica	12	19.91	94	0.22	103.00	85.82	6	Q193378	2	muy_generico
235	neurofisiología	31	51.43	243	0.57	102.92	221.67	9	Q660910	2	muy_generico
236	autólogo	14	23.22	110	0.26	102.64	100.04	8			desconocido
237	cefalea	16	26.54	126	0.30	102.38	114.25	7			desconocido
238	intranasal	8	13.27	63	0.15	102.38	57.13	6			desconocido
239	percutáneo	28	46.45	221	0.52	102.11	199.81	16			desconocido
240	endotraqueal	12	19.91	96	0.23	100.55	85.29	9			desconocido
241	surgery	9	14.93	72	0.17	100.55	63.97	8			desconocido
242	extrahospitalario	7	11.61	56	0.13	100.55	49.75	6			desconocido
243	intratorácico	6	9.95	48	0.11	100.55	42.64	5			desconocido
244	debilidad	11	18.25	89	0.21	99.26	77.92	9			desconocido
245	citogenética	15	24.88	122	0.29	98.67	106.09	5			desconocido
246	amigdalitis	14	23.22	114	0.27	98.54	98.98	6	Q186470		desconocido
247	nutrimento	7	11.61	57	0.13	98.54	49.49	6			desconocido
248	subcelular	18	29.86	147	0.35	98.21	127.15	13			desconocido
249	septal	20	33.18	164	0.39	97.76	141.11	8			desconocido
250	escoliosis	5	8.29	41	0.10	97.76	35.28	5			desconocido
251	esputo	5	8.29	41	0.10	97.76	35.28	5			desconocido
252	inmunohistoquímico	9	14.93	74	0.17	97.45	63.45	7			desconocido
253	miastenia	13	21.57	107	0.25	97.34	91.62	7			desconocido
254	derivaciones	7	11.61	58	0.14	96.61	49.23	5			desconocido
255	ovelha	7	11.61	58	0.14	96.61	49.23	7			desconocido
256	perivascular	7	11.61	58	0.14	96.61	49.23	5			desconocido
257	haemophilus	24	39.81	200	0.47	95.98	168.51	16			desconocido
258	síndromes	18	29.86	150	0.35	95.98	126.38	16			desconocido
259	respiratory	9	14.93	75	0.18	95.98	63.19	9			desconocido
260	vírica	26	43.13	219	0.52	94.82	181.97	13			desconocido
261	cardiogénico	9	14.93	76	0.18	94.55	62.94	6			desconocido
262	metilación	104	172.53	880	2.07	94.33	726.88	10			desconocido
263	reconstructivo	34	56.40	288	0.68	94.21	237.56	19			desconocido
264	corticoid	36	59.72	305	0.72	94.19	251.52	20			desconocido
265	distrés	10	16.59	85	0.20	93.85	69.80	9			desconocido
266	otorrinolaringólogo	10	16.59	85	0.20	93.85	69.80	8			desconocido
267	oseltamivir	8	13.27	68	0.16	93.85	55.84	6			desconocido
268	hipotensión	6	9.95	51	0.12	93.85	41.88	6			desconocido
269	palpebral	22	36.50	188	0.44	93.28	153.31	13			desconocido
270	agroecosistema	15	24.88	129	0.30	92.61	104.33	8			desconocido
271	mucosidad	22	36.50	190	0.45	92.17	152.82	16			desconocido
272	lesión	6	9.95	52	0.12	91.81	41.63	5			desconocido
273	moraxella	6	9.95	52	0.12	91.81	41.63	5			desconocido
274	retroperitoneal	6	9.95	52	0.12	91.81	41.63	5			desconocido
275	adnmt	31	51.43	269	0.63	91.68	215.02	8			desconocido
276	anticoagulant	16	26.54	140	0.33	90.82	110.70	5			desconocido
277	proteómico	12	19.91	105	0.25	90.82	83.02	9			desconocido
278	irradiar él	5	8.29	44	0.10	90.24	34.53	5			desconocido
279	deglutir	7	11.61	62	0.15	89.58	48.25	6			desconocido
280	electroencefalografía	7	11.61	62	0.15	89.58	48.25	5			desconocido
281	neumónico	7	11.61	62	0.15	89.58	48.25	5			desconocido
282	resección	51	84.61	452	1.06	89.52	351.49	26			desconocido
283	subclavia	16	26.54	142	0.33	89.38	110.22	7			desconocido
284	miosis	8	13.27	71	0.17	89.38	55.11	6			desconocido
285	entumecimiento	26	43.13	231	0.54	89.27	179.05	18			desconocido
286	alvéolo	73	121.10	653	1.54	88.59	501.69	34			desconocido
287	fisiopatológico	15	24.88	135	0.32	87.98	102.90	14			desconocido
288	diástole	12	19.91	108	0.25	87.98	82.32	5			desconocido
289	orofaringe	6	9.95	54	0.13	87.98	41.16	6			desconocido
290	nikolaas	5	8.29	45	0.11	87.98	34.30	5			desconocido
291	medicamentós	7	11.61	64	0.15	86.44	47.79	5			desconocido
292	edema	17	28.20	156	0.37	86.08	115.92	13			desconocido
293	multifocal	13	21.57	120	0.28	85.51	88.49	7			desconocido
294	microbián	86	142.67	794	1.87	85.49	585.34	24			desconocido
