selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
68	minbar	10	22.12	94	0.22	111.75	73.38	8			desconocido
69	architektur	25	55.29	237	0.56	110.70	183.01	6			desconocido
70	sezession	15	33.18	144	0.34	109.15	109.41	6			desconocido
71	jugendstil	20	44.23	197	0.46	106.07	144.80	9			desconocido
72	stijl	23	50.87	227	0.53	105.83	166.43	10			desconocido
73	mies	118	260.98	1165	2.74	105.80	853.77	22			desconocido
74	flamígero	50	110.59	495	1.17	105.47	361.48	21			desconocido
75	tange	25	55.29	249	0.59	104.77	180.43	9			desconocido
76	palladián	17	37.60	170	0.40	104.30	122.55	14			desconocido
77	inigo	14	30.96	142	0.33	102.67	100.51	6			desconocido
78	soane	16	35.39	164	0.39	101.48	114.51	5			desconocido
79	soufflot	12	26.54	124	0.29	100.58	85.68	7			desconocido
80	innen	8	17.69	83	0.20	100.13	57.06	7			desconocido
81	calentador	85	188.00	883	2.08	99.99	605.99	5			desconocido
82	frauenkirche	17	37.60	180	0.42	97.90	120.52	5			desconocido
83	bioclimático	45	99.53	477	1.12	97.78	318.93	8			desconocido
84	gehry	39	86.26	415	0.98	97.37	276.09	11			desconocido
85	klenze	15	33.18	160	0.38	97.11	106.11	5			desconocido
86	abacial	82	181.36	902	2.12	93.87	574.86	17			desconocido
87	zaha	26	57.50	290	0.68	92.45	181.52	14			desconocido
88	manuelino	18	39.81	202	0.48	91.83	125.44	7			desconocido
89	gatcpac	9	19.91	102	0.24	90.84	62.54	5			desconocido
90	trompas	8	17.69	91	0.21	90.48	55.53	5			desconocido
91	neogriego	17	37.60	195	0.46	89.65	117.70	12	Q1513688	3	especifico
92	soleamiento	5	11.06	58	0.14	88.56	34.50	5			desconocido
93	pevsner	24	53.08	279	0.66	88.35	165.51	10			desconocido
94	mocárabes	15	33.18	176	0.41	87.46	103.15	6			desconocido
95	arcado	9	19.91	106	0.25	87.10	61.82	6			desconocido
96	historicismo	50	110.59	599	1.41	85.49	341.70	27			desconocido
97	estilos	56	123.86	686	1.61	83.44	380.13	46			desconocido
98	postmodernismo	13	28.75	160	0.38	83.02	88.12	6			desconocido
99	minarete	65	143.76	801	1.89	82.90	440.42	17			desconocido
100	guas	14	30.96	174	0.41	82.14	94.61	5			desconocido
101	koolhaas	16	35.39	200	0.47	81.63	107.94	5			desconocido
102	neobarroco	11	24.33	140	0.33	80.05	73.80	8	Q911397	2	generico
103	termostato	28	61.93	364	0.86	78.23	186.64	8			desconocido
104	kairuán	15	33.18	196	0.46	77.79	99.83	6			desconocido
105	banister	8	17.69	106	0.25	76.63	53.01	6			desconocido
106	schinkel	24	53.08	320	0.75	76.11	158.73	8			desconocido
107	palladianismo	6	13.27	80	0.19	76.11	39.68	5			desconocido
108	mansart	17	37.60	231	0.54	74.57	111.78	5			desconocido
109	cielorraso	15	33.18	205	0.48	74.11	98.45	6			desconocido
110	constructivismo	54	119.43	739	1.74	74.00	354.26	11			desconocido
111	apisonado	19	42.02	262	0.62	73.40	124.35	8			desconocido
112	oiza	9	19.91	126	0.30	72.21	58.63	6			desconocido
113	edificatorio	9	19.91	127	0.30	71.60	58.48	8			desconocido
114	bauen	12	26.54	170	0.40	71.29	77.88	5			desconocido
115	selyúcido	23	50.87	327	0.77	71.02	149.10	5			desconocido
116	climatización	41	90.68	584	1.37	70.88	265.62	10	Q1798773		desconocido
117	cúpulas	9	19.91	129	0.30	70.40	58.19	5			desconocido
118	mendelsohn	34	75.20	498	1.17	68.78	218.33	10			desconocido
119	cúfico	11	24.33	163	0.38	67.93	70.38	5			desconocido
120	portail	9	19.91	136	0.32	66.52	57.22	5			desconocido
121	facade	13	28.75	197	0.46	66.32	82.58	10			desconocido
122	pugin	12	26.54	182	0.43	66.26	76.21	7			desconocido
123	decó	17	37.60	263	0.62	64.87	107.27	12			desconocido
124	собор	12	26.54	186	0.44	64.74	75.68	5			desconocido
125	hammam	7	15.48	109	0.26	64.42	44.08	5			desconocido
126	hipodámico	7	15.48	109	0.26	64.42	44.08	6			desconocido
127	ventilador	7	15.48	110	0.26	63.80	43.95	5	Q6498398		desconocido
128	intercesión	11	24.33	173	0.41	63.74	69.04	5			desconocido
129	eglise	27	59.72	425	1.00	63.68	169.42	13			desconocido
130	funcionalista	33	72.99	520	1.22	63.61	207.00	16			desconocido
131	arabesco	12	26.54	191	0.45	62.93	75.03	5			desconocido
132	funcionalismo	5	11.06	80	0.19	62.58	31.21	5	Q47942		desconocido
133	stam	15	33.18	241	0.57	62.30	93.50	6			desconocido
134	guarini	24	53.08	386	0.91	62.23	149.55	11			desconocido
135	serlio	14	30.96	226	0.53	61.99	87.13	7			desconocido
136	gótico	90	199.06	1453	3.42	61.98	560.12	29			desconocido
137	adobe	31	68.56	504	1.19	61.52	192.49	21			desconocido
138	zevi	7	15.48	114	0.27	61.41	43.44	5			desconocido
139	qasr	23	50.87	379	0.89	60.65	142.19	5			desconocido
140	mezquita	237	524.18	3956	9.31	59.82	1458.93	32			desconocido
141	estilo	130	287.52	2170	5.11	59.82	800.25	48			desconocido
142	bagh	19	42.02	320	0.75	59.25	116.62	6			desconocido
143	hagia	20	44.23	340	0.80	58.67	122.38	7			desconocido
144	polilobulado	12	26.54	206	0.48	58.06	73.19	8			desconocido
145	neoclasicista	5	11.06	86	0.20	57.95	30.48	5			desconocido
146	cumbrera	15	33.18	259	0.61	57.71	91.31	7			desconocido
147	isozaki	9	19.91	157	0.37	57.08	54.60	6			desconocido
148	samarra	31	68.56	541	1.27	57.06	188.04	8			desconocido
149	déco	12	26.54	212	0.50	56.32	72.49	8			desconocido
150	rascacielo	74	163.67	1308	3.08	56.29	446.96	32			desconocido
151	cupulado	8	17.69	143	0.34	55.63	48.14	8			desconocido
152	architecture	257	568.41	4621	10.88	55.28	1543.39	102			desconocido
153	transepto	128	283.10	2312	5.44	55.02	767.52	39			desconocido
154	jahan	35	77.41	633	1.49	54.94	209.78	5			desconocido
155	hastial	21	46.45	385	0.91	54.16	125.29	10			desconocido
156	saarinen	25	55.29	462	1.09	53.70	148.75	9			desconocido
157	posmodernismo	24	53.08	444	1.05	53.64	142.75	11			desconocido
158	radiante	99	218.96	1846	4.34	53.20	587.27	32			desconocido
159	lúcio	13	28.75	246	0.58	52.37	76.73	5			desconocido
160	contrarreformista	9	19.91	171	0.40	52.15	53.05	6			desconocido
161	absidiolo	11	24.33	210	0.49	51.89	64.73	6			desconocido
162	panoramio	24	53.08	460	1.08	51.67	141.04	17			desconocido
163	mendicant	22	48.66	427	1.00	50.99	128.73	10			desconocido
164	doesburg	13	28.75	258	0.61	49.81	75.48	5			desconocido
165	porch	15	33.18	298	0.70	49.75	87.07	11			desconocido
166	batlló	13	28.75	259	0.61	49.61	75.38	5			desconocido
167	hadid	29	64.14	582	1.37	49.23	167.74	14			desconocido
168	architettura	17	37.60	347	0.82	48.36	97.75	10			desconocido
169	catedral	30	66.35	619	1.46	47.81	171.85	21			desconocido
170	palladio	50	110.59	1032	2.43	47.80	286.39	19			desconocido
171	aalto	29	64.14	600	1.41	47.68	165.97	8			desconocido
172	temples	9	19.91	187	0.44	47.46	51.43	5			desconocido
173	seagram	10	22.12	208	0.49	47.41	57.12	5			desconocido
174	columnata	63	139.34	1312	3.09	47.35	359.72	28			desconocido
175	estuco	131	289.74	2755	6.48	46.86	745.41	58			desconocido
176	pagoda	23	50.87	486	1.14	46.63	130.66	7			desconocido
177	claristorio	6	13.27	127	0.30	46.55	34.06	5			desconocido
178	sobria	12	26.54	255	0.60	46.36	68.03	12			desconocido
179	streamline	10	22.12	214	0.50	46.02	56.55	7			desconocido
180	alminar	6	13.27	129	0.30	45.79	33.88	5			desconocido
181	austera	11	24.33	237	0.56	45.69	62.06	11			desconocido
182	neoclásico	10	22.12	216	0.51	45.57	56.37	6			desconocido
183	basilica	31	68.56	675	1.59	45.19	174.24	12			desconocido
184	iconostasio	18	39.81	396	0.93	44.70	100.80	7			desconocido
185	abovedada	17	37.60	374	0.88	44.70	95.20	13			desconocido
186	cathédrale	6	13.27	132	0.31	44.70	33.60	5			desconocido
187	abbaye	18	39.81	397	0.93	44.58	100.71	6			desconocido
188	adob	14	30.96	309	0.73	44.55	78.31	5			desconocido
189	hôtel	108	238.87	2385	5.61	44.52	603.98	16			desconocido
190	ifriqiya	15	33.18	333	0.78	44.28	83.73	5			desconocido
191	klerk	12	26.54	267	0.63	44.17	66.93	6			desconocido
192	lutyens	11	24.33	245	0.58	44.13	61.33	5			desconocido
193	racionalista	13	28.75	290	0.68	44.05	72.44	6			desconocido
194	breuer	32	70.78	716	1.69	43.92	178.12	10			desconocido
195	architectural	63	139.34	1421	3.34	43.55	349.66	28			desconocido
196	arcada	110	243.29	2521	5.93	42.83	607.01	46			desconocido
197	bernini	70	154.82	1610	3.79	42.67	385.78	22			desconocido
198	mansarda	14	30.96	322	0.76	42.67	77.16	6			desconocido
199	buckminster	9	19.91	209	0.49	42.24	49.43	5			desconocido
200	revival	11	24.33	256	0.60	42.15	60.36	6			desconocido
201	balaustr	11	24.33	257	0.60	41.97	60.28	5			desconocido
